"ID","LastName","Title","FirstName","Organisation","Position","Suburb","State","Postcode","WorkPhone","EmailAddress","Industry"
1,"Urfer","Mr","Zachary","ICAP","Statistics Analyst","Manuka","ACT",2603,"(01) 3677 5035","zzanker@icap.com.au","Diversified Financials "
2,"Gastonguay","Mr","Stan","Dollar General","Business Analyst","North Ryde","NSW",2113,"(08) 3409 1629","sthom@dollargeneral.com.au","Retailing "
3,"Cunis","Mr","Alfonso","Chesapeake Energy","Manager, Manufacturing & Management Systems","Clayton","VIC",3168,"(07) 3249 8970","ahorovitz@chesapeakeenergy.com.au","Oil & Gas Operations "
4,"Paterson","Mr","Tony","Smith & Nephew","IT Operation Manager","Smithfield","NSW",2164,"(03) 9078 5943","tvo@smithnephew.com.au","Health Care Equipment & Services"
5,"Busuttil","Mr","Zachary","Rolls-Royce Group","Manager - Cognos Planning","Canberra","ACT",2601,"(02) 7677 5372","zbaker@rolls-roycegroup.com.au","Aerospace & Defense "
6,"Bual","Mr","Joaquin","De La Rue Plc","Business Information Specialist","Canberra","ACT",2901,"(02) 4398 5029","jmcconaghy@delarueplc.com.au","Business Services & Supplies "
7,"Koebel","Mr","Angel","WPP","Manager, Corporate Applications","Sydney","NSW",2000,"(07) 8811 5855","ajacobson@wpp.com.au","Media "
8,"Heminover","Mr","Roman","Sara Lee","Director","Sydney","NSW",2000,"(01) 9666 6547","rtwomey@saralee.com.au","Food, Drink & Tobacco "
9,"Leuckel","Mr","Reinaldo","Advanced Micro","Information Analyst","Adelaide","SA",5000,"(03) 5907 2118","rcalabrese@advancedmicro.com.au","Semiconductors "
10,"Vandel","Mr","Kendrick","Brambles","Business Solutions Manager","North Sydney","NSW",2060,"(08) 5057 9082","ksmith@brambles.com.au","Business Services & Supplies "
11,"Padiong","Mr","Russ","Charter Commun","Senior Analyst","Broadway","NSW",2007,"(03) 5904 2759","rabrahamsen@chartercommun.com.au","Media "
12,"Cerchia","Mr","Nathanael","Home Retail Group",,"Camberwell","VIC",3124,"(06) 5174 5058","ntrewin@homeretailgroup.com.au","Retailing "
